county,todays_date,previous_days_covid_confirmed_patients,previous_days_suspected_covid_patients,previous_days_conversion_covid_patients,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Amador,2020-05-30,,,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
Del Norte,2020-05-30,,,,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Yolo,2020-05-30,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,3.0
Siskiyou,2020-05-30,1.0,0.0,,0.0,0.0,0.0,31.0,0.0,1.0,1.0
Tehama,2020-05-30,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,8.0
San Bernardino,2020-05-31,36.0,38.0,,101.0,55.0,156.0,4007.0,43.0,6.0,192.0
Los Angeles,2020-05-31,383.0,372.0,,1313.0,502.0,1815.0,22421.0,405.0,94.0,1276.0
Riverside,2020-05-31,96.0,58.0,,195.0,98.0,293.0,3853.0,62.0,15.0,137.0
Plumas,2020-05-31,,1.0,,0.0,1.0,1.0,36.0,0.0,0.0,
Sacramento,2020-05-31,3.0,5.0,,16.0,18.0,34.0,2393.0,7.0,2.0,94.0
Tulare,2020-05-31,30.0,0.0,,35.0,1.0,36.0,920.0,12.0,1.0,13.0
Santa Barbara,2020-05-31,12.0,9.0,,22.0,4.0,26.0,717.0,7.0,2.0,89.0
El Dorado,2020-05-31,1.0,6.0,,1.0,6.0,7.0,199.0,1.0,3.0,4.0
Monterey,2020-05-31,0.0,0.0,,9.0,0.0,9.0,811.0,4.0,0.0,98.0
Shasta,2020-05-31,0.0,0.0,,1.0,0.0,1.0,657.0,1.0,0.0,11.0
San Mateo,2020-05-31,2.0,0.0,,46.0,10.0,56.0,1096.0,26.0,1.0,39.0
Ventura,2020-05-31,0.0,17.0,,25.0,21.0,46.0,1329.0,11.0,5.0,40.0
Solano,2020-05-31,8.0,19.0,,19.0,10.0,29.0,707.0,5.0,1.0,38.0
Sonoma,2020-05-31,1.0,23.0,,5.0,44.0,49.0,871.0,2.0,8.0,48.0
Alameda,2020-05-31,28.0,26.0,,89.0,31.0,120.0,2553.0,34.0,5.0,130.0
Mendocino,2020-05-31,,,,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Napa,2020-05-31,0.0,2.0,,0.0,2.0,2.0,387.0,0.0,0.0,11.0
Fresno,2020-06-25,14.0,6.0,0.0,103.0,44.0,147.0,2022.0,23.0,3.0,74.0
San Bernardino,2020-06-26,40.0,33.0,12.0,349.0,97.0,446.0,4821.0,122.0,11.0,115.0
Del Norte,2020-06-26,0.0,0.0,0.0,1.0,0.0,1.0,51.0,1.0,0.0,2.0
San Joaquin,2020-06-27,37.0,36.0,11.0,126.0,28.0,154.0,1430.0,30.0,7.0,47.0
Modoc,2020-05-30,0.0,0.0,,0.0,0.0,0.0,37.0,0.0,0.0,
Lake,2020-05-30,,,,0.0,0.0,0.0,110.0,0.0,0.0,0.0
Sutter,2020-05-30,,,,0.0,0.0,0.0,14.0,0.0,0.0,
San Francisco,2020-05-31,21.0,8.0,,50.0,19.0,69.0,2619.0,22.0,4.0,91.0
Orange,2020-05-31,137.0,71.0,,283.0,120.0,403.0,6593.0,120.0,21.0,315.0
Lake,2020-05-31,0.0,1.0,,1.0,0.0,1.0,110.0,0.0,0.0,0.0
Santa Barbara,2020-05-30,12.0,10.0,,18.0,8.0,26.0,717.0,7.0,3.0,90.0
Yuba,2020-05-31,,,,1.0,0.0,1.0,445.0,0.0,0.0,12.0
Kings,2020-05-31,1.0,1.0,,28.0,2.0,30.0,199.0,10.0,0.0,0.0
Madera,2020-05-31,2.0,0.0,,2.0,2.0,4.0,528.0,1.0,0.0,23.0
Trinity,2020-05-31,,0.0,,0.0,1.0,1.0,54.0,0.0,0.0,
Lassen,2020-05-31,,,,0.0,1.0,1.0,25.0,0.0,0.0,
Amador,2020-05-31,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Tehama,2020-05-31,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,7.0
Sacramento,2020-05-28,5.0,10.0,,14.0,27.0,41.0,2395.0,8.0,4.0,95.0
Amador,2020-05-28,0.0,0.0,,0.0,1.0,1.0,51.0,0.0,0.0,4.0
Placer,2020-05-28,0.0,0.0,,5.0,18.0,23.0,753.0,3.0,3.0,33.0
El Dorado,2020-05-28,1.0,2.0,,1.0,5.0,6.0,199.0,1.0,5.0,8.0
San Joaquin,2020-05-28,7.0,16.0,,15.0,25.0,40.0,1366.0,5.0,5.0,16.0
Stanislaus,2020-05-28,1.0,1.0,,15.0,8.0,23.0,1369.0,6.0,1.0,78.0
Tuolumne,2020-05-28,0.0,0.0,,0.0,0.0,0.0,151.0,0.0,0.0,2.0
Mariposa,2020-05-28,0.0,0.0,,0.0,2.0,2.0,30.0,0.0,0.0,
Orange,2020-05-28,104.0,91.0,,283.0,100.0,383.0,6729.0,116.0,12.0,403.0
Santa Clara,2020-05-28,1.0,5.0,,26.0,14.0,40.0,3318.0,13.0,2.0,180.0
San Benito,2020-05-28,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Diego,2020-05-28,181.0,66.0,,304.0,69.0,373.0,5992.0,135.0,16.0,309.0
Imperial,2020-05-28,47.0,7.0,,61.0,7.0,68.0,199.0,19.0,1.0,10.0
Mendocino,2020-05-28,0.0,0.0,,3.0,0.0,3.0,180.0,1.0,0.0,4.0
Lake,2020-05-28,0.0,0.0,,0.0,1.0,1.0,110.0,0.0,0.0,0.0
Napa,,0.0,1.0,,6.0,38.0,3.0,587.0,4.0,0.0,21.0
Del Norte,2020-05-28,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
Kern,2020-05-28,8.0,5.0,,58.0,8.0,66.0,1744.0,25.0,0.0,77.0
Tulare,2020-05-28,2.0,3.0,,37.0,2.0,39.0,920.0,10.0,1.0,8.0
Alameda,2020-05-28,39.0,39.0,,96.0,57.0,153.0,2968.0,44.0,13.0,106.0
Contra Costa,2020-05-28,7.0,8.0,,13.0,38.0,51.0,1628.0,7.0,7.0,103.0
San Francisco,2020-05-28,21.0,41.0,,49.0,42.0,91.0,2619.0,20.0,9.0,83.0
Butte,2020-05-28,3.0,0.0,,5.0,1.0,6.0,448.0,3.0,0.0,22.0
Plumas,2020-05-28,0.0,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Lassen,2020-05-28,0.0,0.0,,0.0,1.0,1.0,25.0,0.0,0.0,
Shasta,2020-05-28,0.0,0.0,,0.0,0.0,0.0,667.0,0.0,0.0,9.0
Siskiyou,2020-05-28,0.0,0.0,,0.0,0.0,0.0,65.0,0.0,0.0,6.0
Tehama,2020-05-28,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,4.0
San Bernardino,2020-05-28,46.0,72.0,,151.0,85.0,236.0,4478.0,52.0,16.0,183.0
Mono,2020-05-28,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Inyo,2020-05-28,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Sutter,2020-05-28,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Los Angeles,2020-05-27,,,,1371.0,597.0,1968.0,22703.0,447.0,87.0,1269.0
Shasta,2020-05-27,,,,0.0,0.0,0.0,441.0,0.0,0.0,14.0
Kern,2020-05-27,,,,63.0,5.0,68.0,1727.0,28.0,0.0,72.0
Riverside,2020-05-27,,,,199.0,114.0,313.0,4005.0,66.0,21.0,131.0
San Bernardino,2020-05-27,,,,143.0,81.0,224.0,4340.0,51.0,14.0,219.0
Monterey,2020-05-27,,,,11.0,0.0,11.0,811.0,3.0,0.0,100.0
Contra Costa,2020-05-27,,,,11.0,30.0,41.0,1628.0,7.0,6.0,115.0
Plumas,2020-05-27,,,,0.0,0.0,0.0,36.0,0.0,0.0,
Marin,2020-05-27,,,,1.0,1.0,2.0,390.0,1.0,0.0,10.0
San Francisco,2020-05-27,,,,25.0,5.0,30.0,2169.0,11.0,0.0,85.0
Colusa,2020-05-27,,,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Fresno,2020-05-27,,,,71.0,44.0,115.0,2143.0,19.0,4.0,93.0
Alameda,2020-05-27,,,,95.0,69.0,164.0,2968.0,37.0,10.0,128.0
Solano,2020-05-27,,,,20.0,14.0,34.0,707.0,8.0,2.0,41.0
Mendocino,2020-05-27,,,,3.0,1.0,4.0,180.0,1.0,1.0,3.0
Lake,2020-05-27,,,,0.0,0.0,0.0,110.0,0.0,0.0,0.0
Yuba,2020-05-27,,,,1.0,0.0,1.0,445.0,0.0,0.0,12.0
Kings,2020-05-27,,,,23.0,1.0,24.0,199.0,7.0,0.0,0.0
San Mateo,2020-05-27,,,,33.0,8.0,41.0,1096.0,16.0,3.0,46.0
Placer,2020-05-27,,,,6.0,14.0,20.0,753.0,3.0,1.0,45.0
Yolo,2020-05-27,,,,0.0,0.0,0.0,186.0,0.0,0.0,3.0
Merced,2020-05-27,,,,6.0,2.0,8.0,242.0,4.0,0.0,3.0
Del Norte,2020-05-27,,,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
San Benito,2020-05-27,,,,1.0,0.0,1.0,25.0,0.0,0.0,1.0
Humboldt,2020-05-27,,,,5.0,4.0,9.0,352.0,1.0,0.0,3.0
Lassen,2020-05-27,,,,0.0,1.0,1.0,25.0,0.0,0.0,
Siskiyou,2020-05-27,,,,0.0,3.0,3.0,65.0,0.0,1.0,5.0
Tehama,2020-05-27,,,,0.0,0.0,0.0,106.0,0.0,0.0,3.0
Mono,2020-05-27,,,,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Kern,2020-04-21,,,,31.0,12.0,43.0,1171.0,13.0,1.0,57.0
Lake,2020-04-21,,,,0.0,2.0,2.0,58.0,0.0,0.0,6.0
Los Angeles,2020-04-21,,,,1810.0,593.0,2403.0,13663.0,595.0,109.0,936.0
San Joaquin,2020-04-21,,,,27.0,24.0,51.0,544.0,16.0,5.0,30.0
Tuolumne,2020-04-21,,,,0.0,0.0,0.0,90.0,0.0,0.0,3.0
Napa,2020-04-21,,,,1.0,1.0,2.0,387.0,1.0,0.0,9.0
San Diego,2020-04-20,,,,262.0,98.0,46.0,715.0,103.0,19.0,169.0
Lassen,2020-04-21,,,,0.0,1.0,1.0,,0.0,0.0,
San Francisco,2020-04-21,,,,76.0,45.0,121.0,738.0,25.0,9.0,79.0
Santa Clara,2020-03-29,,,,0.0,0.0,0.0,,0.0,0.0,
Monterey,2020-04-21,,,,7.0,4.0,11.0,875.0,2.0,1.0,68.0
Contra Costa,2020-04-21,,,,33.0,44.0,77.0,1037.0,13.0,11.0,71.0
Riverside,2020-04-21,,,,243.0,118.0,361.0,2562.0,77.0,32.0,111.0
Santa Cruz,2020-04-21,,,,3.0,2.0,5.0,351.0,1.0,0.0,16.0
Imperial,2020-04-21,,,,23.0,12.0,35.0,161.0,12.0,0.0,1.0
Butte,2020-04-21,,,,0.0,1.0,1.0,424.0,0.0,1.0,19.0
Santa Barbara,2020-04-21,,,,26.0,8.0,34.0,415.0,13.0,5.0,82.0
San Benito,2020-04-21,,,,1.0,0.0,1.0,25.0,0.0,0.0,2.0
Sonoma,2020-04-21,,,,2.0,17.0,19.0,575.0,0.0,6.0,28.0
Orange,2020-04-20,,,,172.0,102.0,0.0,,73.0,21.0,184.0
Humboldt,2020-04-10,,,,2.0,10.0,0.0,,0.0,3.0,0.0
Mariposa,2020-04-21,,,,0.0,1.0,1.0,,0.0,0.0,
Marin,2020-04-21,,,,5.0,4.0,9.0,242.0,2.0,1.0,11.0
Humboldt,2020-04-21,,,,0.0,5.0,5.0,308.0,0.0,0.0,6.0
Mono,2020-04-21,,,,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Calaveras,2020-04-21,,,,0.0,0.0,0.0,50.0,0.0,0.0,12.0
Merced,2020-04-21,,,,0.0,3.0,3.0,,0.0,2.0,4.0
Siskiyou,2020-04-21,,,,0.0,0.0,0.0,36.0,0.0,0.0,4.0
Inyo,2020-04-21,,,,1.0,0.0,1.0,50.0,1.0,0.0,3.0
Los Angeles,2020-04-17,,,,1746.0,649.0,41.0,,606.0,106.0,593.0
Shasta,2020-04-20,,,,1.0,0.0,0.0,226.0,1.0,0.0,18.0
Nevada,2020-04-21,,,,1.0,4.0,5.0,58.0,1.0,2.0,7.0
Inyo,,,,,9.0,135.0,0.0,36.0,1.0,0.0,7.0
Tehama,2020-04-21,,,,0.0,0.0,0.0,,0.0,0.0,3.0
Del Norte,2020-04-21,,,,0.0,1.0,1.0,,0.0,0.0,3.0
Yolo,2020-04-21,,,,5.0,2.0,7.0,,1.0,0.0,15.0
Sutter,2020-04-21,,,,0.0,0.0,0.0,,,,
Yuba,,,,,5.0,29.0,,,4.0,8.0,12.0
Tuolumne,,,,,2.0,7.0,,,0.0,0.0,3.0
Colusa,,,,,3.0,2.0,2.0,256.0,3.0,2.0,30.0
Monterey,,,,,20.0,36.0,11.0,458.0,7.0,4.0,98.0
Solano,,,,,57.0,71.0,23.0,388.0,26.0,3.0,164.0
Amador,,,,,1.0,1.0,,,0.0,0.0,6.0
Kings,2020-03-31,,,,1.0,3.0,,,1.0,2.0,4.0
San Joaquin,2020-03-31,,,,38.0,43.0,,,12.0,3.0,24.0
Fresno,2020-03-31,,,,26.0,268.0,,,2.0,18.0,15.0
Ventura,2020-03-31,,,,25.0,102.0,,,5.0,29.0,14.0
Orange,2020-03-31,,,,109.0,249.0,,,47.0,50.0,138.0
Riverside,2020-03-31,,,,87.0,149.0,,,29.0,55.0,71.0
Los Angeles,2020-03-30,,,,37.0,81.0,,,14.0,18.0,35.0
San Bernardino,2020-03-31,,,,69.0,186.0,,,31.0,37.0,52.0
Monterey,2020-03-31,,,,11.0,15.0,,,4.0,2.0,17.0
Contra Costa,2020-03-31,,,,18.0,25.0,,,9.0,6.0,47.0
San Joaquin,2020-03-30,,,,0.0,7.0,,,0.0,2.0,0.0
Nevada,2020-03-31,,,,36.0,40.0,,,2.0,1.0,6.0
Tehama,2020-03-31,,,,0.0,2.0,,,0.0,0.0,4.0
Riverside,2020-03-30,,,,16.0,36.0,,,6.0,8.0,
Santa Clara,2020-03-31,,,,114.0,66.0,,,52.0,13.0,65.0
Stanislaus,2020-03-31,,,,12.0,20.0,,,4.0,1.0,19.0
San Diego,2020-03-31,,,,164.0,430.0,,,77.0,43.0,212.0
Kern,2020-03-27,,,,0.0,0.0,,,0.0,0.0,
Marin,2020-03-31,,,,5.0,12.0,,,3.0,2.0,9.0
El Dorado,2020-03-29,,,,0.0,17.0,,,0.0,9.0,8.0
Modoc,2020-03-30,,,,0.0,19.0,,,0.0,0.0,
Orange,2020-03-30,,,,0.0,0.0,,,0.0,0.0,
Solano,2020-03-31,,,,2.0,7.0,,,1.0,5.0,7.0
Modoc,2020-03-31,,,,0.0,0.0,,,0.0,0.0,
Placer,2020-03-31,,,,11.0,15.0,,,3.0,0.0,11.0
Yolo,2020-03-31,,,,3.0,2.0,,,2.0,2.0,1.0
Sutter,2020-03-31,,,,0.0,0.0,,,0.0,0.0,
Ventura,2020-03-30,,,,0.0,7.0,,,,,
Mendocino,2020-04-01,,,,0.0,2.0,,,0.0,0.0,8.0
Yuba,2020-04-01,,,,2.0,24.0,,,2.0,4.0,6.0
Fresno,2020-04-01,,,,19.0,101.0,,,5.0,13.0,53.0
Orange,2020-04-01,,,,113.0,205.0,,,48.0,42.0,111.0
Lassen,2020-04-01,,,,0.0,7.0,,,0.0,0.0,
El Dorado,2020-04-01,,,,14.0,0.0,,,1.0,0.0,6.0
San Francisco,2020-04-01,,,,50.0,38.0,,,23.0,4.0,50.0
Monterey,2020-04-01,,,,13.0,16.0,,,4.0,4.0,15.0
Stanislaus,2020-04-01,,,,25.0,39.0,,,10.0,6.0,31.0
Imperial,2020-04-01,,,,3.0,9.0,,,2.0,2.0,4.0
Butte,2020-04-01,,,,5.0,33.0,,,2.0,4.0,9.0
Siskiyou,2020-04-01,,,,0.0,5.0,,,0.0,2.0,3.0
San Benito,2020-04-01,,,,2.0,0.0,,,2.0,0.0,0.0
Mariposa,2020-03-31,,,,0.0,0.0,,,0.0,0.0,
Marin,2020-04-01,,,,9.0,19.0,,,4.0,2.0,14.0
Sonoma,2020-04-01,,,,5.0,18.0,,,1.0,2.0,22.0
Madera,2020-04-01,,,,1.0,3.0,,,1.0,0.0,4.0
Merced,2020-04-01,,,,3.0,15.0,,,0.0,3.0,9.0
Modoc,2020-04-01,,,,0.0,1.0,,,0.0,0.0,
Yolo,2020-04-01,,,,3.0,3.0,,,1.0,1.0,2.0
Santa Cruz,2020-04-01,,,,1.0,4.0,,,1.0,0.0,2.0
Modoc,2020-05-27,,,,0.0,0.0,0.0,41.0,0.0,0.0,
Humboldt,2020-03-31,,,,1.0,11.0,,,0.0,4.0,8.0
San Diego,2020-03-30,,,,0.0,8.0,,,0.0,4.0,5.0
Sacramento,2020-03-30,,,,0.0,0.0,,,0.0,0.0,1.0
Santa Cruz,2020-03-30,,,,0.0,2.0,,,0.0,0.0,4.0
San Mateo,2020-04-01,,,,57.0,35.0,,,19.0,9.0,36.0
Del Norte,2020-04-01,,,,0.0,5.0,,,0.0,0.0,3.0
Sutter,2020-04-01,,,,0.0,0.0,,,0.0,0.0,
Santa Clara,2020-04-02,,,,163.0,101.0,,,69.0,19.0,95.0
Orange,2020-04-02,,,,129.0,225.0,,,67.0,47.0,96.0
San Bernardino,2020-04-02,,,,123.0,181.0,,,48.0,45.0,37.0
Modoc,2020-04-02,,,,0.0,1.0,,,0.0,0.0,
Stanislaus,2020-04-02,,,,30.0,43.0,,,11.0,7.0,22.0
Trinity,2020-04-02,,,,0.0,0.0,,,0.0,0.0,
El Dorado,2020-04-02,,,,15.0,12.0,,,0.0,6.0,10.0
Mono,2020-04-02,,,,18.0,2.0,,,0.0,0.0,2.0
Ventura,2020-04-02,,,,19.0,70.0,,,5.0,10.0,15.0
Yuba,2020-04-02,,,,2.0,25.0,,,2.0,6.0,4.0
Mendocino,2020-04-02,,,,0.0,1.0,,,0.0,0.0,8.0
Napa,2020-04-02,,,,0.0,1.0,,,0.0,1.0,6.0
Monterey,2020-04-02,,,,14.0,14.0,,,4.0,2.0,12.0
Kern,2020-04-01,,,,15.0,45.0,,,7.0,9.0,32.0
Los Angeles,2020-04-01,,,,698.0,1300.0,,,317.0,214.0,456.0
San Diego,2020-04-01,,,,162.0,310.0,,,69.0,24.0,206.0
Mono,2020-04-01,,,,0.0,0.0,,,0.0,0.0,2.0
Contra Costa,2020-04-02,,,,32.0,38.0,,,13.0,10.0,73.0
Santa Barbara,2020-04-02,,,,26.0,44.0,,,18.0,10.0,47.0
,2020-04-02,,,,12.0,9.0,,,5.0,2.0,9.0
Inyo,2020-04-02,,,,8.0,102.0,,,0.0,1.0,3.0
Del Norte,2020-04-02,,,,0.0,3.0,,,0.0,0.0,2.0
Imperial,2020-04-02,,,,3.0,10.0,,,2.0,3.0,3.0
Amador,2020-04-02,,,,0.0,3.0,,,0.0,0.0,2.0
Kings,2020-04-03,,,,0.0,3.0,,,1.0,0.0,3.0
Sacramento,2020-04-03,,,,77.0,76.0,,,28.0,17.0,76.0
Mono,2020-04-03,,,,18.0,2.0,,,0.0,0.0,2.0
Alameda,2020-04-03,,,,64.0,74.0,,,32.0,13.0,117.0
Fresno,2020-04-03,,,,15.0,81.0,,,7.0,16.0,33.0
San Joaquin,2020-04-03,,,,41.0,38.0,,,18.0,8.0,22.0
San Mateo,2020-04-03,,,,65.0,39.0,,,26.0,4.0,38.0
Marin,2020-04-03,,,,6.0,16.0,,,3.0,5.0,17.0
Lassen,2020-04-03,,,,0.0,3.0,,,0.0,0.0,
Glenn,2020-04-03,,,,0.0,0.0,,,0.0,0.0,
Kern,2020-04-03,,,,35.0,73.0,,,12.0,16.0,47.0
Imperial,2020-04-03,,,,9.0,7.0,,,7.0,0.0,5.0
San Luis Obispo,2020-04-03,,,,4.0,5.0,,,3.0,2.0,967.0
Plumas,2020-04-03,,,,0.0,0.0,,,0.0,0.0,
Madera,2020-04-03,,,,0.0,5.0,,,0.0,1.0,7.0
Santa Cruz,2020-04-03,,,,4.0,8.0,,,3.0,0.0,2.0
Santa Barbara,2020-04-03,,,,27.0,29.0,,,18.0,4.0,50.0
Inyo,2020-04-03,,,,8.0,102.0,,,1.0,2.0,1.0
Tulare,2020-04-03,,,,5.0,10.0,,,4.0,2.0,0.0
Del Norte,2020-04-03,,,,0.0,2.0,,,0.0,0.0,2.0
Yolo,2020-04-03,,,,2.0,7.0,,,3.0,6.0,4.0
Lake,2020-04-03,,,,0.0,2.0,,,0.0,1.0,2.0
San Benito,2020-04-03,,,,2.0,0.0,,,2.0,0.0,0.0
San Diego,2020-04-04,,,,175.0,211.0,,,85.0,18.0,216.0
Fresno,2020-04-04,,,,14.0,93.0,,,7.0,20.0,36.0
Sacramento,2020-04-04,,,,69.0,76.0,,,25.0,18.0,82.0
San Francisco,2020-04-04,,,,55.0,45.0,,,24.0,4.0,64.0
Yolo,2020-04-04,,,,4.0,5.0,,,3.0,3.0,4.0
Inyo,2020-04-04,,,,8.0,106.0,,,1.0,1.0,2.0
Shasta,2020-04-04,,,,2.0,10.0,,,4.0,0.0,13.0
Monterey,2020-04-04,,,,16.0,25.0,,,4.0,2.0,18.0
Lassen,2020-04-04,,,,0.0,0.0,,,0.0,0.0,
Tulare,2020-04-04,,,,7.0,15.0,,,4.0,1.0,3.0
Stanislaus,2020-04-04,,,,30.0,45.0,,,12.0,9.0,26.0
Del Norte,2020-04-04,,,,0.0,2.0,,,0.0,0.0,1.0
Contra Costa,2020-04-04,,,,30.0,47.0,,,12.0,7.0,87.0
Solano,2020-04-04,,,,16.0,19.0,,,7.0,2.0,23.0
Sutter,2020-04-04,,,,0.0,0.0,,,,,
Modoc,2020-04-04,,,,0.0,0.0,,,0.0,0.0,
Plumas,2020-04-04,,,,0.0,0.0,,,0.0,0.0,
Butte,2020-04-04,,,,3.0,14.0,,,1.0,4.0,7.0
Siskiyou,2020-04-04,,,,0.0,2.0,,,0.0,1.0,5.0
Mono,2020-04-04,,,,20.0,2.0,,,0.0,0.0,2.0
Santa Barbara,2020-04-04,,,,28.0,34.0,,,18.0,2.0,53.0
Nevada,2020-04-04,,,,2.0,6.0,,,2.0,2.0,5.0
Napa,2020-04-04,,,,1.0,8.0,,,0.0,1.0,6.0
Tehama,2020-04-04,,,,0.0,1.0,,,0.0,0.0,8.0
Yuba,2020-04-04,,,,2.0,16.0,,,2.0,2.0,7.0
San Benito,2020-04-04,,,,2.0,3.0,,,2.0,0.0,0.0
Mariposa,2020-04-04,,,,0.0,2.0,,,0.0,0.0,
Mendocino,2020-04-05,,,,0.0,3.0,,,0.0,2.0,4.0
San Joaquin,2020-04-05,,,,40.0,22.0,,,13.0,3.0,15.0
Fresno,2020-04-05,,,,8.0,51.0,,,3.0,8.0,23.0
Ventura,2020-04-05,,,,21.0,119.0,,,7.0,28.0,12.0
Napa,2020-04-05,,,,1.0,8.0,,,0.0,1.0,11.0
Alameda,2020-04-05,,,,50.0,51.0,,,30.0,9.0,81.0
San Luis Obispo,2020-04-05,,,,2.0,11.0,,,2.0,9.0,28.0
Lassen,2020-04-05,,,,0.0,0.0,,,0.0,0.0,
Santa Clara,2020-04-05,,,,120.0,44.0,,,49.0,15.0,74.0
Contra Costa,2020-04-05,,,,19.0,19.0,,,10.0,9.0,44.0
Riverside,2020-04-05,,,,129.0,207.0,,,47.0,60.0,130.0
Stanislaus,2020-04-05,,,,21.0,13.0,,,9.0,3.0,21.0
Butte,2020-04-05,,,,2.0,16.0,,,1.0,6.0,10.0
San Benito,2020-04-05,,,,3.0,0.0,,,2.0,0.0,0.0
Mariposa,2020-04-05,,,,0.0,2.0,,,0.0,0.0,
Calaveras,2020-04-05,,,,0.0,0.0,,,0.0,0.0,6.0
San Mateo,2020-04-05,,,,50.0,3.0,,,17.0,3.0,23.0
Inyo,2020-04-05,,,,9.0,106.0,,,1.0,0.0,3.0
Kern,2020-04-12,,,,31.0,28.0,,,18.0,3.0,41.0
Tulare,2020-04-12,,,,15.0,4.0,,,6.0,1.0,22.0
Los Angeles,2020-04-12,,,,1379.0,683.0,,,548.0,142.0,566.0
Kings,2020-04-12,,,,8.0,0.0,,,3.0,0.0,3.0
Ventura,2020-04-12,,,,18.0,30.0,,,8.0,3.0,17.0
Colusa,2020-04-12,,,,0.0,0.0,,,0.0,0.0,6.0
San Bernardino,2020-04-12,,,,152.0,168.0,,,63.0,36.0,108.0
Santa Clara,2020-04-12,,,,145.0,51.0,,,66.0,8.0,102.0
Calaveras,2020-04-12,,,,0.0,2.0,,,0.0,2.0,9.0
San Luis Obispo,2020-04-12,,,,2.0,8.0,,,2.0,4.0,24.0
Merced,2020-04-12,,,,0.0,3.0,,,0.0,2.0,2.0
Siskiyou,2020-04-12,,,,0.0,0.0,,,0.0,0.0,6.0
Tehama,2020-04-12,,,,0.0,3.0,,,0.0,0.0,6.0
Nevada,2020-04-12,,,,3.0,1.0,,,2.0,2.0,4.0
Plumas,2020-04-12,,,,0.0,0.0,,,0.0,0.0,
Imperial,2020-04-12,,,,18.0,13.0,,,8.0,1.0,2.0
Butte,2020-04-12,,,,2.0,0.0,,,2.0,0.0,15.0
Placer,2020-04-12,,,,19.0,15.0,,,6.0,3.0,6.0
Marin,2020-04-12,,,,2.0,24.0,,,1.0,1.0,13.0
Solano,2020-04-12,,,,13.0,19.0,,,7.0,10.0,30.0
San Diego,2020-04-12,,,,232.0,99.0,,,97.0,17.0,164.0
Madera,2020-04-12,,,,0.0,5.0,,,0.0,0.0,5.0
Modoc,2020-04-12,,,,0.0,0.0,,,0.0,0.0,
Inyo,2020-04-12,,,,10.0,140.0,,,1.0,0.0,4.0
Yolo,2020-04-12,,,,2.0,0.0,,,2.0,0.0,0.0
Trinity,2020-04-12,,,,0.0,0.0,,,0.0,0.0,
Sonoma,2020-04-05,,,,4.0,12.0,,,2.0,3.0,6.0
Nevada,2020-04-05,,,,2.0,4.0,,,2.0,1.0,3.0
Placer,2020-04-05,,,,12.0,1.0,,,6.0,0.0,9.0
Sutter,2020-04-05,,,,0.0,0.0,,,0.0,0.0,
Orange,2020-04-06,,,,145.0,171.0,,,73.0,33.0,134.0
San Diego,2020-04-06,,,,187.0,224.0,,,83.0,25.0,270.0
Los Angeles,2020-04-06,,,,1137.0,1038.0,,,477.0,171.0,579.0
Riverside,2020-04-06,,,,129.0,193.0,,,46.0,65.0,152.0
San Francisco,2020-04-06,,,,80.0,71.0,,,34.0,9.0,71.0
Plumas,2020-04-06,,,,0.0,0.0,,,0.0,0.0,
Marin,2020-04-06,,,,8.0,8.0,,,4.0,4.0,13.0
Modoc,2020-04-06,,,,0.0,0.0,,,0.0,0.0,
Nevada,2020-04-06,,,,1.0,5.0,,,1.0,2.0,4.0
Kern,2020-04-06,,,,14.0,27.0,,,6.0,2.0,38.0
Inyo,2020-04-06,,,,9.0,114.0,,,1.0,0.0,3.0
Santa Barbara,2020-04-06,,,,34.0,26.0,,,19.0,5.0,54.0
Mendocino,2020-04-06,,,,0.0,2.0,,,0.0,2.0,10.0
Madera,2020-04-06,,,,0.0,2.0,,,0.0,1.0,8.0
Lake,2020-04-06,,,,0.0,8.0,,,0.0,2.0,1.0
Santa Cruz,2020-04-06,,,,5.0,9.0,,,4.0,2.0,5.0
Sutter,2020-04-06,,,,0.0,0.0,,,,,
El Dorado,2020-04-06,,,,16.0,1.0,,,0.0,0.0,10.0
Humboldt,2020-04-06,,,,3.0,12.0,,,0.0,3.0,2.0
